,Unnamed: 0,description,img,tags,title
8C4213,12,"PRODUTO DISPONÍVEL APENAS MEDIANTE ENCOMENDA 
VESTIDO EM CROCHÊ, CONFECCIONADO COM LINHA ESPECIAL PARA O VERÃO. 
TODOS OS TAMANHOS E QUALQUER COR. 
10 DIAS UTEIS PARA A CONFECÇÃO 
 
Todos os modelos são confeccionados nos tamanhos: 
P veste 36-38 
M veste 40-42 
G veste 44 
GG veste 46.",https://img.elo7.com.br/product/main/16105EC/vestido-curto-de-croche-croche.jpg,"crochê,biquíni empina bumbum,biquini cavado,vestido de casamento,festadecasamento,vestido longo,verão,vestido formatura,vestido curto,vestido curto de croche,vestido,vestido de croche,saída de praia",VESTIDO CURTO DE CROCHÊ
7D75A1,15,"Caixinha de papel alta gramatura no tamanho 12x13cm 
Álbum dental porta dente de leite (Caixa plástica com fechamento) tamanho apx 7x8cm 
. 
* Permite o armazenamento correto dos dentes, formando a arcada. E também a fácil identificação dos dentes que ainda faltam cair.",https://img.elo7.com.br/product/main/139FB70/album-dental-porta-dente-de-leite-dental.jpg,"dente de leite,porta dente de leite,dente,álbum do dente,caixinha para dente,dental,álbum,angie,guardar,porta dente,album dental,dentinho,dentedeleite",Álbum dental porta dente de leite
6FD62E,141,"Cobre Mancha em TNT 0,70 x 0,70 quadrada com acabamento reto. 
Temos todas as cores, verificar disponibilidade da cor desejada. 
Fazemos outras medidas de toalhas de mesa, favor consultar sobre preços e medidas diferentes",https://img.elo7.com.br/product/main/11637B9/cobre-mancha-tnt-0-70-x-0-70-toalhas.jpg,"toalha para mesinhas,evento,toalha de mesa com cobre mancha,aluguel,decoração de recepção,cadeira,toalhas grandes,cobremanchas,aluguel toalha de mesa convidados,toalha de mesa,festa infantil,toalha de cozinha,detalhes,mancha,tnt,toalha de festa,cobre mesa,restaurante,cobre mancha,toalha,toalha de tnt quadrada mesa convidados,cobre,presente,toalha de mesa oxford,toalha de aluguel,locação toalha,mesa de casamento,locação","Cobre mancha TNT 0,70 x 0,70"
B8D363,843,"Balão 
Cabo com 5 metros 
Alimentação: 3 pilhas AA ou 3 pilhas AAA (não inclusa) *Enviamos conforme disponibilidade de estoque. 
Botão: Liga/Desliga 
Cor dos leds misturados: Azul, Branco, vermelho, Verde. 
 
Pode usar gás hélio para a bexiga ficar flutuando (não acompanha gás) 
sem gás hélio 
Medida do balão cheio: 30cm 
NÃO VAI A VARETA. 
Itens inclusos 
1x Balão transparente 
1x Cordão de led colorido com 5 mts",https://img.elo7.com.br/product/main/1D3F24B/balao-de-led-kraft.jpg,"balão bubble com led,decoração elefantinho,lacinhos coloridos,presente,saquinhos de papel colorido,laço,carros,concha dourada,aniversário elefantinho,lata para personalizar,elefantinho rosa,galão,baú,balao bexiga de festa com led,panelinha,mini trofeu,mini taça acrilica,galão de óleo,trofeu dourado,doilie,baloes led,taças,gás hélio,bexiga led,balão,balão com led,garrafa com bexigas,led,panelinha mini,sachê transparente,mouse,locamos,troféu dourado,troféu,decoração de festa elefantinho,estante escada",BALÃO DE LED
BF589D,1120,"**POSSUÍMOS FRETE DIFERENCIADO COM EMPRESA DE LOGÍSTICA (para muitos CEPs, mais barato e rápido que os Correios)! NOS CONSULTE CLICANDO NO BOTÃO CONTATAR VENDEDOR E ENVIANDO O SEU CEP PARA FAZERMOS O CÁLCULO DO FRETE PARA VOCÊ! 
 
**************************** 
 
Este lindo ursinho de pelúcia com coração Love You é um presente romântico e perfeito para celebrar o amor entre duas pessoas. Ideal para dar de presente para a namorada/esposa ou para surpreender uma pessoal especial em ocasiões como Dia dos Namorados, Aniversários, Dia das Mães e Natal. 
 
Os patinhas do urso podem ser personalizadas com um texto de sua escolha, tornando este um presente ainda mais especial e uma lembrança para ser guardada para a vida inteira. 
 
**************************** 
 
PRAZO DE PRODUÇÃO/PERSONALIZAÇÃO: 3 dias úteis 
 
**Observe que o prazo de produção/personalização começa a valer após a confirmação do pagamento pela Elo7 e envio dos textos para personalização e se adiciona ao prazo de entrega dos Correios. Por favor, tenha em mente que pagamentos por boletos levam, em média, 2-3 dias úteis para serem confirmados. Não podemos aceitar comprovantes de pagamento do boleto como confirmação da compra - neste caso, o produto é enviado para a produção quando da confirmação do pagamento pela Elo7 
 
**************************** 
 
Este lindo ursinho de pelúcia com laço de corações é um presente romântico e perfeito para celebrar o amor entre duas pessoas.  Ideal para ocasiões como Dia das Mães, Dia dos Namorados, Aniversários, dentre outras ocasiões durante o ano. 
 
As patinhas do urso podem ser personalizadas com um texto de sua escolha, tornando este um presente ainda mais especial e uma lembrança para ser guardada para a vida inteira. 
 
**************************** 
 
COMO EFETUAR A COMPRA: 
 
1. No ato ou logo após a compra, favor enviar o texto/nome para personalização de cada patinha do urso (máximo 10 caracteres incluindo espaços em cada pata) 
2. Após a confirmação do pagamento, enviamos a sua pelúcia para a produção -3 dias úteis 
3. Assim que fizermos o despacho do seu pedido, você receberá um email com o código/link de rastreamento para que possa acompanhar a sua entrega 
 
**************************** 
 
CARACTERÍSTICAS DO PRODUTO: 
 
- Tamanho da pelúcia sentada: 46cm(A) x 40cm(L) x 33cm(P) 
- Pelúcia antialérgica 
- A pelúcia é enviada em uma linda caixa de presentes Meu Mundo Personalizado gratutia* 
- Adicione também um cartão de presentes gratuito com o seu presente (opcional). Favor, enviar o texto do cartão junto com o texto da personalização (máximo 300 caracteres incluindo espaços) 
 
**Como a entrega é feita por terceiros, não garantimos que a caixa chegue intacta (não amassada). Porém, sempre tomamos muito cuidado para que isto não ocorra 
 
**************************** 
 
TEM URGÊNCIA? 
 
Entre em contato antes de efetuar a compra e teremos o prazer em lhe atender. Havendo possibilidade de encaixe, garantiremos um prazo de produção mais curto. 
 
**************************** 
 
PROCURANDO OUTROS MODELOS? Temos vários modelos de presentes personalizados e criativos. Por favor, confira nossas coleções para ver mais! 
 
**************************** 
 
DÚVIDAS? Entre em contato apertando o botão contatar vendedor 
 
**************************** 
 
* GOSTARIA DE RECEBER AS NOVIDADES DA NOSSA LOJA NA SUA INBOX? Nos adicione como loja favorita ou nos siga para receber emails com promoções e produtos novinhos em folha! 
 
****************************",https://img.elo7.com.br/product/main/1E4D1E4/urso-de-pelucia-grande-personalizado-laco-coracoes-vermelho-personalizados.jpg,"urso de pelúcia personalizado,ursinho de pelúcia,urso de pelucia para a namorada,dia das mães,namorada,presente romântico,personalizado,pelúcia,presente dia das mães,presente personalizado,presentes originais para namorada,urso namorada,urso,dia dos namorados,presente para amigo,presente de aniversario criativo para amiga,lembrança,presente para namorado,presente dia dos namorados,ursinho com coração,urso namorado,presente para pai,presente diferente,presente,presente recem nascido,urso de pelúcia,presente aniversário infantil,aniversário,presente personalizado amiga",Presente para namorada - Urso Grande Personalizado Corações
85EEFC,1226,"Kit enfeite de mesa acompanha; 
 
1 cahepó personalizado em personagem + nome; 
1 tag grande com personagens feito em papel 180gr cortado em maquina (personagens variados, ou se preferir único, isso vai conforme gosto do cliente); 
1 tag pequeno com personagem + nome feito em papel 180gr cortado em maquina. 
 
Montamos qualquer tema. 
 
Após postagem no correio não nos responsabilizamos por qualquer tipo de atrasos.",https://img.elo7.com.br/product/main/1505653/enfeite-de-mesa-minecraft-cachepo-minecraft.jpg,"chá de panela,kit silhouette,cachepô minecraft,infantil,porta copo personalizado,molde para silhouette,chá,enfeite de mesa minecraft,minecraft,enfeite de mesa,chá bar,centro de mesa minecraft,lembrança",Enfeite de mesa Minecraft
445221,1364,"CAIXA MDF PINTADA COM APLIQUE EM RENDA OU TECIDO...ACOMODANDO 1 AROMATIZADOR 250 ML EM VIDRO E 1 SABONETE GEL- LIQUIDO COM GLITTER DOURADO + 1 TOALHA BORDADA AS INICIAIS E UMA ALMOFADINHA DUPLA DE CETIM PERFUMADA COM UMA LINDA FLOR COM PÉROLA OU PODEMOS SUBSTITUI-LA POR UM SABONETE TUBET DE FLORES..O CHARME E A SOFISTICAÇÃO DO BRANCO E PRETO ....FEITO COM MUITO CARINHA PARA Karina...PRESENTEAR SUAS MADRINHAS... 
Peço gentilmente que antes de REALIZAR O PEDIDO, encaminhe a sua dúvida ou pedido de CALCULO DO FRETE através do botão CONTATAR VENDEDOR que se encontra ao LADO DIREITO DE QUALQUER PRODUTO DA NOSSA LOJA caso esteja sendo acessado pelo COMPUTADOR ou ABAIXO DO BOTÃO COMPRAR PRODUTO caso esteja sendo acessado pelo CELULAR. 
Pedidos efetuados e não concretizados (Cancelados) por dúvidas ou pelo valor do frete para a sua região, atrapalham a divulgação da nossa loja, pois o Elo7 bloqueia a loja por pedidos cancelados. Obrigada Lediane",https://img.elo7.com.br/product/main/A7E3E1/kit-lembrancinhas-para-padrinhos-creme-de-barbear.jpg,"padrinhos,toalha,creme de barbear,lembrancinhas,mdf,bálsamo,aromatizador,lembrancinhas para padrinhos,sabonete,kit barbear,caixa mdf,casamento,madrinha,kit",Kit - Lembrancinhas para padrinhos
7478AE,1385,"____ FAVOR VERIFICAR A DISPONIBILIDADE ANTES DE FAZER O PEDIDO ____ 
 ____ IMPORTANTE: MENCIONAR O MODELO DO CELULAR NO PEDIDO ____ 
 
Capinhas Celular Personalizadas 3D (IMPRESSÃO TOTAL DO CASE) 
 
____ FAVOR VERIFICAR A DISPONIBILIDADE ANTES DE FAZER O PEDIDO ____ 
 ____ IMPORTANTE: MENCIONAR O MODELO DO CELULAR NO PEDIDO ____ 
 
e Capinhas Celular Personalizadas 2D com bordas PRETA, BRANCA OU TRANSPARENTE 
Ideal para : 
- Presente de Aniversário; 
- Brinde de empresas ( clientes e funcionários); 
e muitas outras datas e eventos importantes 
-Colecionadores 
-Fãs de vídeo game , seriados, anime, mangá, filmes, cartoon .... 
 - Nas artes são possíveis montagens com fotos, imagens, frases/mensagens , nomes personalizados. (MODELOS EM FOTOS EXTRAS) 
- Após efetivar a compra, você receberá nossos dados de contato, onde trataremos sobre todos os detalhes da montagem da arte. Antes da fabricação lhe enviamos a arte para sua aprovação. 
 
- Capinhas de alta qualidade, brilhante ou fosca, grande durabilidade. confeccionadas em material base poliéster 
- Estampada diretamente na superfície da capinha ( não é adesivo ), Impressão em infinitas cores com qualidade fotográfica. 
 
 ---- FAVOR VERIFICAR A DISPONIBILIDADE ANTES DE FAZER O PEDIDO ---- 
 
----IMPORTANTE: MENCIONAR O MODELO DO CELULAR NO PEDIDO ---- 
 
____________ MODELOS EXISTENTES 3D_____________ 
 
NOVIDADE !! 
 
ASUS 
 3D ASUS -ZEN PHONE 5 
 3D ASUS -ZEN PHONE 6 
 
APPLE 
3D Iphone 4/4s 
3D Iphone 5/5s 
3D Iphone 5c 
3D Iphone 6 
3D Iphone 6 Plus 
3D IPAD MINI 
3D IPAD 
 
LG 
3D LG K10 *****NOVIDADE LANÇAMENTO***** 
3D Lg G2 
3D Lg G3 D850 
3D Lg G4 
3D Lg Goole Nexus 5 
 
MOTO 
3D Motorola E 
3D Motorola E 2 Geração 
3D Motorola G 
3D Motorola G 2 Geração 
3D Motorola G 3 Geração 
3D Motorola G 4 Geração 
3D Motorola G 4 Geração PLAY 
3D Motorola G 4 Geração PLUS 
3D Motorola X 
3D Motorola X 2 
 
NOKIA 
3D Nokia 530 
3D Nokia 535 
3D Nokia 730 
3D Nokia 735 
3D Nokia Lúmia 920 
 
SAMSUNG 
3D Samsung A3 
3D Samsung Ace 3 7272 
3D Samsung Core Prime G3608 
3D Samsung Grand 2 I706 
3D Samsung Grand Duos 9082 
3D Samsung Note 2 
3D Samsung Note 3 
3D Samsung S3 
3D Samsung S3 Mini 
3D Samsung S4 
3D Samsung S4 Mini 
3D Samsung S5 
3D Samsung S5 Mini 
3D Samsung S6 
3D Samsung S6 EDGE 
3D Samsung J1 
3D Samsung J5 
3D Samsung J7 
3D Samsung J7 2016 metal 
3D Samsung Win I8552 
3D Samsung Gran Prime 
 
SONY 
3D Sony Xpéria C3 
3D Sony Xpéria M2 
3D Sony Xpéria M4 
3D Sony Xpéria T2 
3D Sony Xpéria T3 
3D Sony Xpéria 1 
3D Sony Xpéria Z2 
3D Sony Xpéria Z3 
3D Sony Xpéria Z3 Mini 
 
---- FAVOR VERIFICAR A DISPONIBILIDADE ANTES DE FAZER O PEDIDO ---- 
 
----IMPORTANTE: MENCIONAR O MODELO DO CELULAR NO PEDIDO ---- 
 
--------------------MODELOS 2D EXISTENTES-------------------------- 
 
APPLE 
2D Iphone 4/4S 
2D Iphone 5/5S 
2D Iphone SE 
2D Iphone 5C 
2D Iphone 6/6S 
2D Iphone 6/6S Plus 
 
SAMSUNG 
2D Galaxy S2 
2D Galaxy S3 
2D Galaxy S3 Mini 
2D Galaxy S3 Duos Core 2 8262 
2D Galaxy S4 
2D Galaxy S4 Mini 
2D Galaxy S4 Active i9295 
2D Galaxy S5 
2D Galaxy S5 Mini 
2D Galaxy S6 
2D Galaxy S6 Active 
2D Galaxy S6 Edge 
2D Galaxy S7 
2D Galaxy S Duos S7562 
2D Samsung Gran Duos 9082 
2D Samsung Gran Prime G530 
2D Samsung Win Duos i8552 
2D Samsung Ace 2 
2D Samsung Ace 3 - 7272 
2D Samsung Ace 4 
2D Samsung Ace 4 - G13 
2D Samsung Ace Plus 
2D Samsung Ace S5830 
2D Samsung Mega 2 
2D Samsung Mega 5.8 i9152 
2D Samsung Mega 6.3 
2D Samsung Note 2 - N7100 
2D Samsung Note 3 Lite 
2D Samsung Note 3 N9006 
2D Samsung Note 4 N910 
2D Samsung Note Edge 9150 
2D Samsung Note 5 
2D Samsung A3 
2D Samsung A5 
2D Samsung A5 (2016) 
2D Samsung A7 
2D Samsung A8 
2D Samsung A9 
2D Samsung Neo Plus 
2D Samsung Core Plus 
2D Samsung Core Prime (S3608) 
2D Samsung Core Lite G318 
2D Samsung Core 2 (G355H) 
2D Galaxy Y (GT 3608) 
2D Samsung E5 
2D Samsung E7 
2D Samsung J1 
2D Samsung J2 
2D Samsung J3 
2D Samsung J5 
2D Samsung J5 (2016) 
2D Samsung J7 
2D Samsung Grand 2 - G7106 
 
SONY 
2D Xperia C 
2D Xperia C3 
2D Xperia C4 
2D Xperia C5 
2D Xperia T2 
2D Xperia T3 
2D Xperia SP M35H 
2D Xperia E4 
2D Xperia M2 
2D Xperia M4 
2D Xperia M5 
2D Xperia Z1 
2D Xperia Z1 Mini 
2D Xperia Z2 
2D Xperia Z2 Mini 
2D Xperia Z3 
2D Xperia Z3 Mini (Compact) 
2D Xperia Z4 
2D Xperia Z4 Mini 
2D Xperia Z5 
 
MOTOROLA 
2D Moto G 
2D Moto G2 
2D Moto G3 
2D Moto G4 
2D Moto G4 Plus 
2D Moto X 
2D Moto X2 
2D Moto X3 
2D Moto X Play 
2D Moto X Style 
2D Moto E 
2D Moto E2 
 
LG 
2D LG L Prime 
2D LG L5 II 
2D LG L7 II 
2D LG L70 
2D LG L90 
2D LG G - E980 
2D LG Optimus G2 
2D LG G2 
2D LG G3 
2D LG G4 
2D LG G4 Stylus 
2D Lg G5 
2D Nexus 4 
2D Nexus 5 
2D Nexus 5 E980 
2D Nexus 6 
 
ASUS 
2D Zenfone 2 
2D Zenfone 5 
2D Zenfone 6 
2D Zenfone Go 
2D Zenfone Selfie 
---- FAVOR VERIFICAR A DISPONIBILIDADE ANTES DE FAZER O PEDIDO ---- 
 
----IMPORTANTE: MENCIONAR O MODELO DO CELULAR NO PEDIDO ---- 
 
CASE GRAPHICS BRASIL, COM A NOSSA CARA, MAS DO SEU JEITO!!...",https://img.elo7.com.br/product/main/1224A62/capa-celular-supernatural-game-of-thrones.jpg,"xperia,manga,doctor who,moto g2,galaxy,iphone 7 plus,capa supernatural,plus,caneca personalizada,m2 aqua,j7 prime,cerâmica,capinha castiel,capinha dean,moto g4,capa,g4 plus,celular,seriados,s4,j7,smart,iphone 7,lg k10,caneca,j5,motorola,capa j6,6,supernatural,m4 aqua",Capa Celular Supernatural 6
CF0333,1393,"REF:ppdfl181 
 
Unidades por rolo: 01 (unidade) 3,00 X 0,58 
 
O TOM DA COR DO PAPEL PODE VARIAR EM 15% DEPENDENDO DO SEU MONITOR. 
 
Gramatura: 135 Gramas 
Composição: 100% PVC 
Textura: Vínilica Fosca Lisa (este produto não possui relevo) 
BRINDE: Espátula para aplicação 
 
ENVIOS: Até em 5 (cinco) dias úteis após a confirmação do pagamento 
 
Vantagens: 
Imagine a sujeira que você produzirá se tiver de utilizar cola, você sabia que o papel de parede convencional não pode ser limpo?! E também que caso de algum problema na aplicação, você perde ele?! Pois bem, pensando nisso desenvolvemos papel vinílico lavável e não tóxico bem simples de aplicar, necessitando apenas de seguir algumas regras. 
 
Leia com atenção 
Atenção: Lembrando que há possibilidade de variação de cor em 15%, 
devido à calibração dos monitores residenciais, 
e também em encomendas efetuadas em períodos diferentes por questões de lote do produto. 
 
Estamos a disposição para o que precisar!",https://img.elo7.com.br/product/main/20D1886/papel-de-parede-elegancia-em-areia-decoracao-de-casa.jpg,"papel de parede pedra,papel de parede sala tv,papel de parede madeira,papel de parede sala de jantar,papel de parede bambinos,papel de parede promoção,ladrilho e hidraulico,papel de parede,papel de parede tijolinho,painel de parede 3d,decoração casa,papel de parede elegancia em areia,papel de parede são paulo,papel de parede poa rosa,adesivounicornio papel de parede tijolinho branco,papel de parede com textura,papel de parede bege,papel de parede áreas externas,papel de parede madeira 3d,papel de parede romântico,papel de parede beb,papel de parede com relevo,papel de parede nude,papeldeparededeunicornio,papel de parede pedras claras,papel de parede quarto criança,decoração fácil",Papel de Parede Elegância em Areia
B9FA6E,1697,"Kit de Lembrancinhas com apliques em 3D, personalizadas com nome e idade da criança. 
 
O Kit é composto por 30 Tags 3D para Latinha ou Caixa Acrílica + 30 Tags para Tubete Grande (7 cm) + 50 Peças que você pode escolher e variar entre: 
Porta Bis Duplo: Cabem Dois Bis 
Caixa Gomos: 5,8 x 8 x 7 cm 
Cachepó Redondo (Mão do Hulk): 6,8 x 6,2 x 6,2 cm 
Caixa Cone: 13,8 x 5,5 x 5,5 cm 
Porta Tubetes: Cabe um Tubete Grande 
Cachepó (Thor): 5,7 x 6 x 6 cm 
Caixa Milk: 9,2 x 6 x 6 cm 
Caixa Sushi: 6,5 x 6,6 x 5,9 cm 
Caixa Bala: 3,2 x 6,2 x 3,2 cm 
Caixa Pentágono: 10,5 x 7 x 6,6 cm 
 
* Material: Papel Fotográfico - 180gr. 
*As peças vão desmontadas para garantir que chegue até você sem estragos. 
* Você terá acesso a vídeos tutoriais ensinando a montar as peças! É muito fácil e rápido. 
* Não acompanha fita banana, fita de cetim e Tubetes. 
 
Qualquer dúvida clique em Contatar Vendedor",https://img.elo7.com.br/product/main/1D6F091/kit-110-lembrancinhas-personalizadas-vingadores-kit-personalizados-vingadores.jpg,"lembrancinha personalizada,caixa bala,tema vingadores,caixa bala vingadores,festa vingadores,lembrancinha de festa,lembrancinha vingadores,scrap,caixa milk,caixinha vingadores,scrap festa,kit lembrancinhas vingadores,vingadores,scrap book,caixa gomos vingadores,caixa sushi vingadores,caixa sushi,caixa porta tubete vingadores,porta bis duplo,scrapbook,caixa com alça,cachepô,lembrancinha personalizada aniversário tema os vingadores,caixa gomos,tema flamingo,lembrancinhas,festa menino",Kit: 110 Lembrancinhas Personalizadas Vingadores
