oid,ind,description,img,tags,title
7476EF,2,"Lindos Pompons de Seda 
 
A grande sensação decorando Eventos, Empresas, Festas e L 
 
Uma maravilhosa transformação no visual do ambiente por um baixo custo 
Valor para pedido mínimo de 5 unidade 
PROCESSO TRAZIDO DA ITÁLIA! 
¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨ 
DESCRIÇÃO 
¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨¨ 
Estes belíssimos Pompons são o 'must have' em todas as ocasiões onde a decoração é indispensável para oferecer uma atmosfera de bem estar aos convidados. 
Pode servir também como decoração para casa, escritório, lojas e empresas. Ideal para todo o tipo de festa, casamentos, aniversários, batizados, primeira comunhão, festas no escritório e formaturas. 
Dispomos de diversas opções de cores, vem dobrado, ou seja, é de fácil transporte e instalação no seu evento. 
Efeito alegre e moderno, nas cores claras torna o ambiente mais delicado. Podem ser presos diretamente no teto 
Cores: Amarelo, Vermelho, Azul Claro, Pink, Verde, Rosa Bebê",https://img.elo7.com.br/product/main/12245D4/pompons-de-seda-medio-gestante.jpg,"festa anos 80,festa ariel,seda,minie vermelha,festa à fantasia,bebê,dinissauros,coração,princesa mulan,barcelona,corporativo,reino encantado menino,pompom papel crepom,decoração,festa de 15 anos tema cinderela,aniversário e festa 15 anos,casa,batizado,anna,oncinha,festa 15 anos princesa,minie,papel de seda,luminoso sereia,casamento,ursinho marinheiro,flamengo,chá bar,minie rosa,aniversário,princesa tiana,pompom de papel de seda,ursinho marrom,papel,rosa,bodas de papel,pompom,borboleta papel seda",Pompons de papel de seda Médio
50BB05,3,"SAIA CONFECCIONADA EM SARJA COM ELASTANO E RENDA DE ALGOD?O NO CÓS 
Obs.: tecido pode sofrer alterações na estampa",https://img.elo7.com.br/product/main/C93C73/saia-de-prenda-2015-vestido-caipira-confortavel.jpg,"vest prenda crianca,taje festa junina,vestido junino 2015,saia de prenda,saia longa renda,roupa tipica alema,vestido de prenda gaucha infantil,vestido caipira xadrez,caipira estilosa,vestido caipira xadrez rosa,vest prenda bebe,fantasia junina infantil,roupa para crianca gordinha,vestido junino baby,vest prenda gaucha,tecido,saia longa classica,danca quadrilha,vestido junino caipira,caipira estilosaarraia chic,saia caipira adulto,vestido de festa com renda,roupa junina estilosa,caipira 2015,prenda,vestido de prenda,traje caipira curtinho,moda evangelica infantil,saia de armação,traje caipira,traje prenda,roupa tipica holandesa,vestido evangélico,vestido caipira crianca gordinha,vestido caipira confortavel,saia,roupa junina infantil,vestido de prenda infantil,roupa de festa junina,roupa tipica brasileira,saia prenda gaucha",SAIA DE PRENDA 2015
B444D0,4,"Caixa convite ou lembrança aos padrinhos de batismo, crisma, consagração ou 1ª comunhão. Caixa em mdf forrada com linho ou tecido à escolha do cliente. 
 
A caixa é personalizada e acompanha: 
 
2 sachês perfumados 
2 mini terços 
3 toalhas de mão com bordado personalizado 
 
Com frase ou mensagem à escolha do cliente, podendo ainda possuir a parte interna bordada também. 
 
Deixe esse momento ainda mais especial !!! 
 
Entre em contato para ver nossos tecidos disponíveis. 
 
* Também pode ser feita para padrinhos de casamento.",https://img.elo7.com.br/product/main/1C84BA1/kit-lembranca-batismo-lembrancinha.jpg,"lembrança padrinhos batismo,caixa de presente,dinda,caixa personalizada,madrinha,lembrança batismo,caixa com tecido,lembrança batizado,dindo,presente crisma,caixa de madeira,batismo,padrinhos de batismo,batizado,kit lembrança,lembrança padrinhos batizado,convite crisma,padrinho de crisma,lembrança de batizado padrinhos,padrinhos,caixa convite para padrinhos de crisma,caixa convite batismo,lembrancinhas,caixa grande,toalha batismo,personalizado,caixa crisma,convite padrinhos de crisma,kit padrinhos,lembrança,caixa bom bordado,presente personalizado,casamento,lembrança padrinho de crisma,caixa convite,menina",Kit Lembrança Batismo
6F1472,6,"Deixe sua festa ainda mais bonita! Encante seus convidados com uma linda decoração! 
 
Enfeite de Mesa cegonha de EVA. Para decoração de mesa individual e como lembrança 
 
ACOMPANHA O PEGA VARETA 
Cachepot com laços + Cegonha - altura de 30 cm. 
Cachepot - altura de 10 cm. / larg e comp. 10 cm. 
Cegonha - altura 22 cm. / largura 18 cm. 
 
Escolhas entre as cores: azul, rosa e lilás. 
 
ATENÇÃO: ao comprar o produto, a quantidade informada deve ser a total, somando todos os modelos. Avise-nos quais os modelos escolhidos, as cores e a quantidade de cada um no ato da compra, através de mensagem pelo Elo7. 
 
Temos outros produtos no mesmo tema! 
 
Consulte-nos para outras cores e desenhos. 
 
As cores podem variar em função da qualidade da fotografia, de computador para computador e em função do fornecedor. 
ATENÇÃO: As estampas podem variar conforme o estoque. 
 
Consulte as políticas da Loja.",https://img.elo7.com.br/product/main/12B22C1/enfeite-de-mesa-cegonha-de-eva-flor.jpg,"enfeite de mesa chá de bebê,parede,lembrancinhas,aplique,enfeites de mesa para cha de bebe com eva,enfeite de mesa em eva,festa,brinde,enfeites em eva,cegonha em eva,decoração,decoração mesa chá de bebê,enfeite,nascimento,flores,enfeite mesa cha bebe menino,batismo,decoração batizado menina,enfeite mesa batizado,lembrancinha maternidade menino,painel,painel cegonha cha bebe,eva,lembrança,decoração batizado menino,mesa",Enfeite de Mesa Cegonha de EVA
42B616,11,"Lindo Vaso de Alumínio, personalizado no Tema Carros Disney, acompanha Tag com Laço em Fita Xadrez. 
***NÃO ACOMPANHA BUCHIHO *** 
Medidas 
Alt.:7,00cm 
Larg.:9,7cm 
Comp.:9,7cm 
Base:5,7cm 
Boca:8,9cm 
 
Fazemos em qualquer tema 
 
*** Frete por conta do Cliente***",https://img.elo7.com.br/product/main/A37244/vaso-em-aluminio-tema-carros-disney-festa-mcqueen.jpg,"vaso aluminio,centro de mesa carros,decoração mesa convidados,tema carros,festa tema carros,decoração festa carros,carros disney,aniversário,personalizado,carros,decoração carros,scrap festa,tag,festa carros,decoração de mesa carros,decoração,decoração carros disney,decoração tema carros,aniversario e festas carros,festa mcqueen,disney,decoração de mesa",Vaso em Alumínio Tema Carros Disney
BB455E,25,"° PAINEL CHALKBOARD DIGITAL 
Painel Chalkboard digital personalizado em alta resolução. 
 
O Painel Chalkboard é a tendência do momento, essa arte digital no estilo de lousa vem ganhando cada vez mais espaço nas comemorações de festa infantil, festa de adulto, chá de bebê, chá bar, chá de casa nova, chá de panela, entre outras comemorações. 
 
° TAMANHO: 
Painel - 2,00x1,00cm. 
 
° DADOS PARA PERSONALIZAÇÃO: 
 
° Nome 
° Idade 
° Data Nascimento 
° Como você é? (Inteligente, etc.) 
° Pessoas que ama 
° Coisas que adora 
° Coisas que destesta 
° Víciada(o) no que? 
 
Essas são algumas sugestões, você também pode nos enviar suas idéias. 
 
° PERSONALIZAÇÃO/CRIAÇÃO 
O processo de personalização/criação é iniciado após a confirmação de pagamento e envio das informações necessárias. 
Os dados para personalização descritos acima deverão ser enviados no pedido aqui no chat do ELO7 ou por e-mail. 
O Painel Chalkboard será enviado como o do anúncio e pode haver alteração no tamanho da fonte caso o texto seja grande. 
Para demais alterações, contate-nos e verifique se haverá cobrança adicional. 
As cores podem variar de acordo com a calibragem do monitor. 
 
° PRAZO DE ENTREGA: 
O prazo de entrega é de até 1 dia útil após a confirmação do pagamento. 
Enviamos a arte para sua aprovação e verificação dos dados e algum erro que possa conter. 
 
° ENVIO DO PRODUTO: 
Após a aprovação, enviaremos o arquivo não editável em JPG alta resolução (300dpi) por e-mail. 
Não enviamos produtos pelo correios, nossos produtos são totalmente digitais, por esse motivo não há necessidade de pagamento de taxa de frete. 
 
° Não encontrou o Tema que gostaria? 
Entre em contato e faremos o possível para atendê-lo. Consulte valores e disponibilidade. 
 
Obrigada; 
 
Joana Alvarenga - Ladybug Arts",https://img.elo7.com.br/product/main/1DA54E3/painel-chalkboard-40-anos-painel-decoracao.jpg,"painel chalkboard 40 anos,decoração 30 anos quadro negro,painel 50 anos,chalkboard 30 anos,quadro negro,chalkboard 40 anos,painel festa 40 anos,painel,painel casamento,lousa personalizada,painel de aniversario,chalkboard festa 40 anos,painel festa 30 anos,decoração festa 40 anos,festa de 50 anos,painel de aniversário com flores,decoracao 30 anos,painel chalkboard,decoração de casamento,painel chá de casa nova,quadro personalizado,niver 30 anos,painel de aniversario 50 anos,chalkboard digital,painel de flores para casamento,festa 40 anos,chalkboard,painel 40 anos,painel lousa,painel de aniversario 40 anos,40 anos",Painel Chalkboard Digital - 40 Anos
A11E3C,31,"Lembrancinha marca paginas em eva com fita de cetim 
Atencão: Verifique disponibilidade de estampas e cores 
 
Atençao ao prazo de produção!",https://img.elo7.com.br/product/main/1971F03/marca-paginas-lembrancinha-kit-c-25-lembrancinha-marca-pagina.jpg,"lembrancinhas evangelicas em eva,bíblia,lembrancinha evangélica,lembrancinha evangelica de circulo de oracao,marca página,página,lembrancinha em eva para igrejas,lembrancinhas para igreja evangelica em eva,círculo de oração,lembrancinhas para culto de missao,lembrancinhas,lembrancinha escola dominical,marcador,biblia em eva,evangélica,lembrancinha marca página,lembrancinha biblia de eva,como fazer marcador de biblia,lembrancinha para igreja evangelica,lembrancinha igreja,festa do circulo de oração,lembrancinha circulo de oração,marcador de bíblia,igreja,eva",Marcador de bíblia lembrancinha
57595D,33,"TEMPO DE PRODUÇÃO DE 20 DIAS ÚTEIS. 
NÃO DEIXE DE LER A POLÍTICA DA LOJA. 
 
O KIT É COMPOSTO DE 46 ITENS. 
POR FAVOR VEJA EXATAMENTE CADA ELEMENTO QUE FAZ PARTE DO KIT PARA QUE NÃO HAJA NENHUMA DÚVIDA. 
 
Para evitar danos no transporte, as caixas para brindes irão abertas, o cliente deverá montar. 
. 
 
Material utilizado: papel de scrapbook de 180 e 120 gramas. 
Peças feitas em 3D. 
 
 O KIT É FORMADO POR: 
2 ANJOS PARA DECORAÇÃO DE MESA PRINCIPAL 
4 CAIXAS PARA BRINDES 
4 TUBETES 
4 CAIXAS MODELO SINO 
10 FORMINHAS PARA DOCES MODELO ANJO 
10 FORMINHAS PARA DOCES MODELO SINO 
10 TAGS PARA DOCINHOS MODELO ANJO 
6 LATINHAS COM MINI TERÇO 
 
 
Todos os produtos tem descrição em nossa loja. 
 
As embalagens não contém recheio.",https://img.elo7.com.br/product/main/1778A1B/kit-batizado-e-primeira-comunhao-kit-primeira-eucaristia.jpg,"festa batizado,comunhão,decoracao festa prime comunhao,decoração,forminhas,decoração primeira comunhão,chá de bebê,aniversário,lembrança,batizado,kit decoração batizado,primeira comunhão,kit batizado,batismo,decoração primeira eucaristia,brinde,festa,primeira eucaristia,kit primeira eucaristia,kit festa,kit festa batizado",KIT BATIZADO E PRIMEIRA COMUNHÃO
CA330C,41,"Tags em formato de pergaminho 
Papel Vegetal 
Temos outros papeis e cores 
Outros tamanhos 
Medida da foto: 09 x 07",https://img.elo7.com.br/product/main/200CF74/tag-pergaminho-para-lembrancinhas-em-papel-vegetal-tags-personalizados.jpg,"tag personalizada,etiquetas para doces,papel vegetal,etiqueta,convite casamento papel vegetal,convite aniversário boteco,tag,tag personalizado,convite,tag para lembrancinha de aniversario,tag lembrancinha,tag bem casado,tag bem nascido,tag para bem vivido,convite 15 anos pergaminho,pergaminho,convite pergaminho 15 anos,papel,lembrancinha boteco,lembrancinha para festa de 15 anos,lembrancinha para aniversário boteco,rótulos para pão de mel,lembrancinhas,convite papel vegetal,convite de casamento pergaminho,papel pergaminho convite",Tag Pergaminho Para Lembrancinhas em Papel Vegetal
7B4679,46,"caixote personalizado no tamanho 20x15 
acompanha rotulo para mini champanhe ou mini vinho + taça acrílico personalizada + bombom. 
taça acrílico é estampada. não é adesivo e nem silkscreen. 
 
A bebida nao esta incluida, apenas o rotulo personalizado. 
 
o kit pode ser alterado conforme sua preferência.",https://img.elo7.com.br/product/main/1343F98/presentes-personalizados-caixote-personalizado.jpg,"presente para namorada,personalizada,adesivo,mini weding,dia dos namorados,personalizado,presente personalizado,presente de aniversário da namorada,presente para namorado diferente,aniversario de namoro,presente para namorado,taças de acrílico personalizadas,presente personalizado para catequista,kit,taça personalizada,presente personalizado para namorado,presente,dia do amigo,acrílico,caixotes personalizados,presente aniversário de namoro,presente de aniversário do namorado,taça de acrílico",presentes personalizados_namorados
